Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,Location,StartDate,EndDate,Total Deaths,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)"
Natural,Climatological,Drought,Drought,,,China,"Sichuan Sheng, Chongqing Shi, Guizhou Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Hunan Sheng, Hubei Sheng provinces",2006-05-01,2006-09-01,134.0,18000000.0,2910000.0,4224508.0
Natural,Meteorological,Storm,Tropical cyclone,,Larry,Australia,Cairns district (Queensland province),2006-03-01,2006-04-01,,7030.0,1180000.0,1713031.0
Natural,Climatological,Wildfire,Forest fire,,,Australia,"Victoria, New South Wales, Tasmania provinces",2006-01-01,2006-04-01,3.0,81.0,50000.0,72586.0
Natural,Hydrological,Flood,Riverine flood,,,Canada,"Aklavik city (Region 1 district, Northwest Territories province)",2006-05-01,2006-06-01,,300.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,Guizhou Sheng province,2006-04-01,2006-05-01,22.0,36900.0,36000.0,52262.0
Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",2006-04-01,2006-05-01,,11000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Kota Jakarta Barat, Kota Jakarta Selatan districts (Dki Jakarta province), Tangerang district (Banten province), Bekasi, Bogor, Kota Depok districts (Jawa Barat province)",2007-01-01,2007-02-01,68.0,217087.0,971000.0,1370524.0
Natural,Meteorological,Storm,Tropical cyclone,,Katrina,USA,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",2005-08-01,2005-09-01,1833.0,500000.0,125000000.0,187319074.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Reno area (Washoe district, Nevada province), Truckee area (Nevada district, California province), Napa, Sonoma, Mendocino, Marin, Solano, Los Angeles districts (California), Carson City district (Nevada province)",2005-12-01,2006-01-01,3.0,3600.0,245000.0,367145.0
Natural,Meteorological,Storm,,,,Japan,"Niigata, Iwate, Hirosima, Tottori provinces",2005-12-01,2006-01-01,100.0,2810.0,33000.0,49452.0
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Songkhla, Trang, Satun, Nakhon Si Thammarat, Phatthalung, Samut Prakarn, Samut Sakhon, Samut Songkham, Chumphon, Narathiwat, Pattani, Yala provinces",2005-11-01,2006-01-01,55.0,700000.0,97000.0,145360.0
Natural,Meteorological,Storm,Tropical cyclone,,Matsa (Gorio/09W),Chinese Taipei,Taiwan Sheng province,2005-07-01,2005-08-01,,,1000.0,1499.0
Natural,Meteorological,Storm,Tropical cyclone,,Rita,USA,"Louisiana, Texas, Mississippi provinces",2005-09-01,2005-10-01,10.0,300000.0,16000000.0,23976841.0
Natural,Climatological,Drought,Drought,,,Thailand,"Ang Thong, Bangkok, Buriram, Chachoengsao, Chainat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chonburi, Chumphon, Kalasin, Kampaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Lampang, Lamphun, Loei, Lopburi, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan Narathiwat, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Phuket, Prachuap Khilikhan, Ranong, Ratchaburi, Rayong, Roi Et, Sakon Nakhon, Samut Prakarn, Samut Sakhon, Samut Songkham, Saraburi, Satun, Si Saket, Singburi, Songkhla, Sukhothai, Suphanburi, Surat Thani, Surin, Tak, Trad, Trang, Uthai Thani, Uttaradit, Yala, Yasothon, Amnat Charoen, Nong Bua Lamphu, Phachinburi, Sa Kaeo, Ubon Ratchathani, Udon Thani provinces",2005-01-01,2005-03-01,,,420000.0,629392.0
Natural,Climatological,Wildfire,Forest fire,,,USA,"Texas, Oklahoma provinces",2005-12-01,2006-01-01,5.0,1410.0,100000.0,149855.0
Natural,Hydrological,Flood,Riverine flood,,,Japan,"Matumotosi, Okayasi, Minowamati districts (Nagano province), Izumosi district (Simane province), Aminotyoo, Kumihamatyoo, Oomiyatyoo, Tangotyoo, Yasakatyoo districts (Kyooto province), Tateyamamati district (Toyama province) ",2006-06-01,2006-07-01,34.0,6232.0,,
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Nan, Phrae, Lampang, Sukhothai, Uttaradit provinces",2006-05-01,2006-06-01,116.0,342895.0,25000.0,36293.0
