Date,Japan,Korea (ROK),Chile,Maldives,Cambodia,Singapore,USA,Chinese Taipei,Thailand,Indonesia,Turkey,"Macao, China",Australia,New Zealand,Czech,Hawaii,Mexico,Hong Kong SAR,Canada,Austria
1996-08-01,12.936689,96.925328,50.642437,1.445815,322.339846,0.167449,0.119934,3.297748,3.033021,287.7254,,0.978585,0.153174,0.172207,3.334455,0.119934,0.901249,0.917003,0.164584,0.091781
1996-09-01,13.183418,97.832291,51.231335,1.462628,326.088194,0.167588,0.11999,3.29948,3.048021,291.071232,,0.989964,0.151295,0.170858,3.37323,0.11999,0.905504,0.920053,0.16432,0.093023
1996-10-01,13.488008,99.048231,51.687995,1.475666,328.99484,0.16889,0.120045,3.305023,3.058086,293.665748,,0.998789,0.151605,0.170655,3.403298,0.120045,0.92809,0.924645,0.162219,0.094116
1996-11-01,13.4772,99.16182,50.939892,1.454308,324.233156,0.167389,0.120046,3.304263,3.056716,289.415397,,0.984333,0.150711,0.168246,3.354041,0.120046,0.949997,0.922943,0.160663,0.093098
1996-12-01,13.67654,100.479487,52.035687,1.485592,331.207907,0.166981,0.120063,3.303694,3.073611,295.641165,,1.005507,0.150579,0.169402,3.426191,0.120063,0.945604,0.922964,0.163551,0.095344
1997-01-01,14.239983,102.678434,52.187165,1.464942,366.702288,0.169096,0.120919,3.323948,3.111607,362.113297,,0.992637,0.155353,0.171526,3.945314,0.120919,0.947521,0.930956,0.163326,0.098911
1997-02-01,14.864461,104.431972,54.499211,1.529843,382.948285,0.170591,0.120919,3.332638,3.140275,378.155989,,1.036614,0.15751,0.174024,4.120103,0.120919,0.943689,0.93124,0.163801,0.103563
1997-03-01,14.833023,106.252679,55.200637,1.549533,387.876976,0.173086,0.120919,3.331433,3.138884,383.023001,,1.049956,0.15351,0.172305,4.173131,0.120919,0.962054,0.932473,0.165823,0.104915
1997-04-01,15.182026,107.774975,55.487926,1.557598,389.895661,0.173498,0.120919,3.340827,3.151643,385.016424,,1.05542,0.155213,0.174177,4.194849,0.120919,0.956084,0.932446,0.168509,0.105698
1997-05-01,14.403751,107.697011,55.319407,1.552867,388.711531,0.172955,0.120919,3.360407,3.113101,383.847112,,1.052215,0.156194,0.174217,4.182109,0.120919,0.955704,0.932237,0.16682,0.105371
1997-06-01,13.819429,107.200005,55.891912,1.568938,392.734345,0.171623,0.120919,3.373985,2.966661,387.819583,,1.063104,0.160391,0.175105,4.225391,0.120919,0.961479,0.931351,0.167385,0.106686
1997-07-01,13.934178,107.583382,57.51376,1.614465,404.130544,0.174851,0.120919,3.388674,3.653794,399.073168,,1.093953,0.16295,0.182243,4.348001,0.120919,0.951835,0.933202,0.166458,0.110425
1997-08-01,14.24658,108.327225,59.230551,1.662657,416.193874,0.180529,0.120919,3.485346,3.917602,410.985535,,1.126608,0.163131,0.18775,4.477789,0.120919,0.941038,0.933385,0.167981,0.113528
1997-09-01,14.597991,110.071908,57.763993,1.621489,405.888846,0.182973,0.120919,3.475988,4.260519,400.809467,,1.098713,0.167024,0.189545,4.366919,0.120919,0.941493,0.934508,0.16766,0.110339
1997-10-01,14.626482,112.12874,56.710808,1.591925,398.48846,0.188161,0.120919,3.585486,4.531476,393.501691,,1.07868,0.167721,0.189974,4.287299,0.120919,0.951415,0.933946,0.167592,0.108342
1997-11-01,15.136866,125.386648,55.760903,1.56526,391.813783,0.191696,0.120919,3.844137,4.719808,386.910542,,1.060612,0.174093,0.194331,4.215486,0.120919,0.999858,0.936676,0.17077,0.106764
1997-12-01,15.660206,182.290562,57.138967,1.603944,401.496992,0.199855,0.120919,3.931181,5.363283,396.472573,,1.086824,0.182522,0.204541,4.319667,0.120919,0.983124,0.936766,0.172557,0.109524
1998-01-01,15.662257,205.660191,56.466215,1.443896,459.349944,0.210648,0.120919,4.1177,6.367238,1228.430845,,0.978803,0.184151,0.208446,3.960123,0.120919,0.994023,0.935006,0.174027,0.111965
1998-02-01,15.198298,196.974387,56.465036,1.443866,459.340354,0.199782,0.120919,3.98284,5.563461,1228.4052,,0.978782,0.179363,0.207401,3.960041,0.120919,1.027703,0.936502,0.173429,0.11199
1998-03-01,15.598541,180.573926,56.678806,1.449332,461.079363,0.195919,0.120919,3.932725,5.001924,1233.0558,,0.982488,0.18052,0.21138,3.975033,0.120919,1.036221,0.937492,0.17126,0.112641
1998-04-01,15.988974,168.567857,56.353156,1.441005,458.430216,0.1939,0.120919,3.992195,4.794877,1225.971236,,0.976843,0.185322,0.218846,3.952194,0.120919,1.028086,0.938778,0.172797,0.11198
1998-05-01,16.309313,169.315891,55.442545,1.41772,451.022437,0.198262,0.120919,4.047784,4.741562,1206.160751,,0.961058,0.191846,0.224847,3.888331,0.120919,1.038766,0.938272,0.174687,0.109647
1998-06-01,16.938541,169.033668,55.795719,1.426751,453.895489,0.204868,0.120919,4.178081,5.11872,1213.8441,,0.96718,0.199986,0.236467,3.9131,0.120919,1.078872,0.936865,0.177072,0.110554
1998-07-01,17.004717,156.889441,56.001861,1.432022,455.572447,0.206866,0.120919,4.158088,4.993901,1218.328757,,0.970754,0.195632,0.233575,3.927557,0.120919,1.076126,0.938153,0.179565,0.110965
1998-08-01,17.494504,159.209136,55.793226,1.426687,453.875208,0.212851,0.120919,4.199574,5.04474,1213.789863,,0.967137,0.205088,0.241438,3.912925,0.120919,1.133356,0.93873,0.185273,0.1104
