Year,Country,Hotels count,Rooms count
2002,Singapore,204.0,35989.0
2003,Singapore,210.0,35930.0
2004,Singapore,220.0,36765.0
2005,Singapore,225.0,36861.0
2006,Singapore,226.0,37198.0
2007,Singapore,226.0,37624.0
2008,Singapore,243.0,39376.0
2009,Singapore,268.0,42719.0
2010,Singapore,282.0,47312.0
2011,Singapore,304.0,49719.0
2012,Singapore,338.0,51664.0
2013,Singapore,373.0,55006.0
2014,Singapore,391.0,57172.0
2015,Singapore,398.0,60908.0
2016,Singapore,413.0,63850.0
2017,Singapore,420.0,67084.0
2018,Singapore,410.0,66994.0
2019,Singapore,424.0,69367.0
2020,Singapore,425.0,69554.0
2021,Singapore,,
1995,New Zealand,,
1996,New Zealand,,53475.0
1997,New Zealand,2263.0,56297.0
1998,New Zealand,2360.0,60439.0
1999,New Zealand,2409.0,62467.0
2000,New Zealand,2474.0,65661.0
2001,New Zealand,2525.0,68348.0
2002,New Zealand,2532.0,70031.0
2003,New Zealand,2551.0,71643.0
2004,New Zealand,2669.0,76766.0
2005,New Zealand,2774.0,81706.0
2006,New Zealand,2812.0,83286.0
2007,New Zealand,2881.0,86116.0
2008,New Zealand,2932.0,89318.0
2009,New Zealand,2927.0,90939.0
2010,New Zealand,2893.0,90888.0
2011,New Zealand,2826.0,86835.0
2012,New Zealand,2797.0,87695.0
2013,New Zealand,2806.0,88791.0
2014,New Zealand,2771.0,88914.0
2015,New Zealand,2756.0,89057.0
2016,New Zealand,2675.0,87739.0
2017,New Zealand,2656.0,88757.0
2018,New Zealand,2651.0,90723.0
2019,New Zealand,,
2020,New Zealand,,
2021,New Zealand,,
1995,USA,,3500000.0
1996,USA,,3600000.0
1997,USA,,3800000.0
1998,USA,44574.0,3900000.0
1999,USA,45111.0,3900000.0
2000,USA,45842.0,4100000.0
2001,USA,46276.0,4200000.0
2002,USA,46773.0,4397534.0
2003,USA,47025.0,4415696.0
2004,USA,47919.0,4411908.0
2005,USA,48347.0,4402466.0
2006,USA,48830.0,4389443.0
2007,USA,49672.0,4476191.0
2008,USA,49009.0,4626348.0
2009,USA,49117.0,4762095.0
2010,USA,49435.0,4801890.0
2011,USA,49791.0,4874837.0
2012,USA,50226.0,4900642.0
2013,USA,52643.0,4926543.0
2014,USA,53175.0,4978705.0
2015,USA,53761.0,5033471.0
2016,USA,54515.0,5114007.0
2017,USA,55458.0,5206059.0
2018,USA,56697.0,5310180.18
2019,USA,57592.0,5416384.0
2020,USA,55519.0,5221194.0
2021,USA,,5491227.0
1995,Thailand,,255573.0
1996,Thailand,,265542.0
1997,Thailand,,272993.0
1998,Thailand,,279070.0
