Country,Date,New Cases,New Deaths
Austria,2021-09-01,55074.0,281.0
Austria,2021-10-01,84478.0,440.0
Austria,2021-11-01,325109.0,1464.0
Austria,2021-12-01,122458.0,1405.0
Austria,2022-01-01,564179.0,398.0
Austria,2022-02-01,833757.0,727.0
Austria,2022-03-01,1161068.0,1044.0
Austria,2022-04-01,327482.0,781.0
Austria,2022-05-01,115835.0,222.0
Austria,2022-06-01,167985.0,132.0
Austria,2022-07-01,330774.0,330.0
Austria,2022-08-01,167755.0,291.0
Austria,2022-09-01,181083.0,166.0
Austria,2022-10-01,321494.0,366.0
Austria,2022-11-01,119127.0,217.0
Austria,2022-12-01,145778.0,263.0
Austria,2023-01-01,75939.0,243.0
Austria,2023-02-01,128715.0,178.0
Austria,2023-03-01,126914.0,250.0
Austria,2023-04-01,32413.0,146.0
Austria,2023-05-01,11884.0,61.0
Austria,2023-06-01,4477.0,22.0
Austria,2023-07-01,99.0,0.0
Cambodia,2020-01-01,1.0,0.0
Cambodia,2020-02-01,0.0,0.0
Cambodia,2020-03-01,106.0,0.0
Cambodia,2020-04-01,15.0,0.0
Cambodia,2020-05-01,3.0,0.0
Cambodia,2020-06-01,16.0,0.0
Cambodia,2020-07-01,93.0,0.0
Cambodia,2020-08-01,40.0,0.0
Cambodia,2020-09-01,3.0,0.0
Cambodia,2020-10-01,14.0,0.0
Cambodia,2020-11-01,32.0,0.0
Cambodia,2020-12-01,43.0,0.0
Cambodia,2021-01-01,100.0,0.0
Cambodia,2021-02-01,354.0,0.0
Cambodia,2021-03-01,1657.0,11.0
Cambodia,2021-04-01,11313.0,85.0
Cambodia,2021-05-01,16920.0,124.0
Cambodia,2021-06-01,19675.0,382.0
Cambodia,2021-07-01,26858.0,795.0
Cambodia,2021-08-01,15812.0,506.0
Cambodia,2021-09-01,19596.0,416.0
Cambodia,2021-10-01,5871.0,469.0
Cambodia,2021-11-01,1612.0,152.0
Cambodia,2021-12-01,359.0,72.0
Cambodia,2022-01-01,862.0,3.0
Cambodia,2022-02-01,8921.0,17.0
Cambodia,2022-03-01,5349.0,22.0
Cambodia,2022-04-01,626.0,2.0
Cambodia,2022-05-01,11.0,0.0
Cambodia,2022-06-01,17.0,0.0
Cambodia,2022-07-01,474.0,0.0
Cambodia,2022-08-01,843.0,0.0
Cambodia,2022-09-01,274.0,0.0
Cambodia,2022-10-01,118.0,0.0
Cambodia,2022-11-01,94.0,0.0
Cambodia,2022-12-01,496.0,0.0
Cambodia,2023-01-01,113.0,0.0
Cambodia,2023-02-01,24.0,0.0
Cambodia,2023-03-01,10.0,0.0
Cambodia,2023-04-01,8.0,0.0
Cambodia,2023-05-01,48.0,0.0
Cambodia,2023-06-01,118.0,0.0
Cambodia,2023-07-01,21.0,0.0
Canada,2020-01-01,3.0,0.0
Canada,2020-02-01,10.0,0.0
Canada,2020-03-01,6242.0,42.0
Canada,2020-04-01,43760.0,2811.0
Canada,2020-05-01,39392.0,4106.0
Canada,2020-06-01,13832.0,1529.0
Canada,2020-07-01,12153.0,393.0
Canada,2020-08-01,12281.0,194.0
Canada,2020-09-01,27628.0,164.0
Canada,2020-10-01,73241.0,785.0
Canada,2020-11-01,137018.0,1891.0
Canada,2020-12-01,199944.0,3359.0
Canada,2021-01-01,205289.0,4388.0
Canada,2021-02-01,90754.0,2076.0
Canada,2021-03-01,110172.0,962.0
Canada,2021-04-01,231016.0,1187.0
Canada,2021-05-01,174256.0,1350.0
Canada,2021-06-01,37143.0,749.0
Canada,2021-07-01,15442.0,322.0
Canada,2021-08-01,63945.0,323.0
Canada,2021-09-01,122338.0,846.0
Canada,2021-10-01,96269.0,1192.0
Canada,2021-11-01,75682.0,686.0
Canada,2021-12-01,314660.0,603.0
Canada,2022-01-01,929074.0,3280.0
Canada,2022-02-01,251667.0,2847.0
Canada,2022-03-01,187641.0,1487.0
Canada,2022-04-01,270399.0,1610.0
Canada,2022-05-01,127064.0,1954.0
Canada,2022-06-01,62840.0,26.0
Canada,2022-07-01,133725.0,999.0
Canada,2022-08-01,101529.0,1168.0
Canada,2022-09-01,73849.0,1006.0
Canada,2022-10-01,101504.0,1489.0
Canada,2022-11-01,69215.0,1346.0
Canada,2022-12-01,81763.0,1606.0
Canada,2023-01-01,58617.0,1170.0
Canada,2023-02-01,40662.0,858.0
Canada,2023-03-01,35042.0,657.0
Canada,2023-04-01,33603.0,692.0
Canada,2023-05-01,17686.0,495.0
Canada,2023-06-01,10480.0,212.0
Canada,2023-07-01,0.0,0.0
Chile,2020-01-01,0.0,0.0
Chile,2020-02-01,1.0,0.0
Chile,2020-03-01,2448.0,8.0
Chile,2020-04-01,12686.0,208.0
Chile,2020-05-01,79723.0,781.0
Chile,2020-06-01,181141.0,4578.0
Chile,2020-07-01,77537.0,3802.0
Chile,2020-08-01,56438.0,1867.0
Chile,2020-09-01,51326.0,1481.0
Chile,2020-10-01,47271.0,1433.0
Chile,2020-11-01,41859.0,1198.0
Chile,2020-12-01,55520.0,1143.0
Chile,2021-01-01,116950.0,1840.0
Chile,2021-02-01,98518.0,2137.0
Chile,2021-03-01,168074.0,2631.0
Chile,2021-04-01,201499.0,3140.0
Chile,2021-05-01,186516.0,2921.0
Chile,2021-06-01,176267.0,3321.0
Chile,2021-07-01,60855.0,2877.0
Chile,2021-08-01,23701.0,1557.0
Chile,2021-09-01,15076.0,532.0
Chile,2021-10-01,39471.0,288.0
Chile,2021-11-01,68488.0,600.0
Chile,2021-12-01,43317.0,753.0
Chile,2022-01-01,333061.0,588.0
Chile,2022-02-01,903657.0,2516.0
Chile,2022-03-01,423025.0,14267.0
Chile,2022-04-01,91908.0,1042.0
Chile,2022-05-01,142334.0,378.0
Chile,2022-06-01,281130.0,580.0
Chile,2022-07-01,253752.0,1085.0
Chile,2022-08-01,269125.0,893.0
Chile,2022-09-01,117703.0,696.0
Chile,2022-10-01,135829.0,536.0
Chile,2022-11-01,158928.0,740.0
Chile,2022-12-01,117218.0,732.0
Chile,2023-01-01,85600.0,657.0
Chile,2023-02-01,46970.0,368.0
Chile,2023-03-01,95485.0,366.0
Chile,2023-04-01,23501.0,364.0
Chile,2023-05-01,3380.0,124.0
Chile,2023-06-01,735.0,58.0
Chile,2023-07-01,161.0,11.0
Chinese Taipei,2020-01-01,10.0,0.0
Chinese Taipei,2020-02-01,29.0,1.0
Chinese Taipei,2020-03-01,161.0,3.0
Chinese Taipei,2020-04-01,107.0,1.0
Chinese Taipei,2020-05-01,13.0,1.0
Chinese Taipei,2020-06-01,5.0,0.0
Chinese Taipei,2020-07-01,20.0,0.0
Chinese Taipei,2020-08-01,21.0,0.0
Chinese Taipei,2020-09-01,25.0,0.0
Chinese Taipei,2020-10-01,41.0,0.0
Chinese Taipei,2020-11-01,97.0,0.0
Chinese Taipei,2020-12-01,146.0,0.0
Chinese Taipei,2021-01-01,112.0,1.0
Chinese Taipei,2021-02-01,45.0,1.0
Chinese Taipei,2021-03-01,70.0,1.0
Chinese Taipei,2021-04-01,97.0,2.0
Chinese Taipei,2021-05-01,7039.0,97.0
Chinese Taipei,2021-06-01,6588.0,534.0
Chinese Taipei,2021-07-01,914.0,144.0
Chinese Taipei,2021-08-01,329.0,47.0
Chinese Taipei,2021-09-01,225.0,8.0
Chinese Taipei,2021-10-01,190.0,5.0
Chinese Taipei,2021-11-01,190.0,1.0
Chinese Taipei,2021-12-01,392.0,2.0
Chinese Taipei,2022-01-01,1747.0,1.0
Chinese Taipei,2022-02-01,1698.0,2.0
Chinese Taipei,2022-03-01,2722.0,0.0
Chinese Taipei,2022-04-01,77598.0,9.0
Chinese Taipei,2022-05-01,1851602.0,1303.0
Chinese Taipei,2022-06-01,1776008.0,4368.0
Chinese Taipei,2022-07-01,838759.0,2360.0
Chinese Taipei,2022-08-01,706327.0,1000.0
Chinese Taipei,2022-09-01,1144492.0,1110.0
Chinese Taipei,2022-10-01,1272169.0,1769.0
Chinese Taipei,2022-11-01,605542.0,1525.0
Chinese Taipei,2022-12-01,525968.0,918.0
Chinese Taipei,2023-01-01,683931.0,1061.0
Chinese Taipei,2023-02-01,465386.0,1396.0
Chinese Taipei,2023-03-01,0.0,0.0
Czech,2020-01-01,0.0,0.0
Czech,2020-02-01,0.0,0.0
Czech,2020-03-01,3026.0,28.0
Czech,2020-04-01,4599.0,206.0
Czech,2020-05-01,1694.0,84.0
Czech,2020-06-01,2599.0,28.0
Czech,2020-07-01,4532.0,34.0
Czech,2020-08-01,8057.0,46.0
Czech,2020-09-01,43536.0,233.0
Czech,2020-10-01,256649.0,2751.0
Czech,2020-11-01,197373.0,5072.0
Czech,2020-12-01,201511.0,3406.0
Czech,2021-01-01,270090.0,4866.0
