Month,Average CNY/THB=,Min CNY/THB=,Max CNY/THB=,Nb of working days
1/2007,4.528672,4.292137,4.619079,22
12/2006,4.569181,4.504247,4.675086,19
11/2006,4.645345,4.583998,4.669382,22
10/2006,4.723266,4.662408,4.758238,22
9/2006,4.719252,4.690697,4.759744,21
8/2006,4.718218,4.683311,4.759501,23
7/2006,4.755626,4.733378,4.782233,21
6/2006,4.792682,4.761629,4.811658,22
5/2006,4.741722,4.682143,4.793703,22
4/2006,4.739982,4.680955,4.843784,18
3/2006,4.849473,4.800914,4.872201,23
2/2006,4.891368,4.861856,4.934899,20
1/2006,4.913436,4.824682,5.083510,22
12/2005,5.089733,5.065235,5.126059,21
11/2005,5.087533,5.043925,5.105460,22
10/2005,5.057521,5.041698,5.086887,21
9/2005,5.072270,5.047119,5.098905,22
8/2005,5.081327,5.040693,5.127739,23
7/2005,5.075613,4.994323,5.157634,21
6/2005,4.949900,4.901063,4.995958,22
5/2005,4.813983,4.737404,4.912897,22
4/2005,4.780849,4.745843,4.803125,21
3/2005,4.659841,4.629273,4.757237,21
2/2005,4.651818,4.616872,4.675017,20
1/2005,4.686666,4.648588,4.748892,21
12/2004,4.740726,4.704856,4.812102,23
11/2004,4.874075,4.769157,4.978791,22
10/2004,4.993585,4.954122,5.014458,21
9/2004,5.014768,4.988285,5.039463,22
8/2004,5.017828,4.988903,5.039298,22
7/2004,4.922627,4.859936,5.010101,22
6/2004,4.929184,4.883438,4.965087,22
5/2004,4.891335,4.812154,4.944959,21
4/2004,4.768041,4.698928,4.832900,20
3/2004,4.753956,4.726188,4.781879,23
2/2004,4.716049,4.651793,4.751111,20
1/2004,4.734907,4.692675,4.892628,21
12/2003,4.792945,4.703998,4.825139,21
11/2003,4.821053,4.803112,4.831693,20
10/2003,4.799615,4.719963,4.837706,23
9/2003,4.888379,4.829345,4.965145,22
8/2003,5.032507,4.964925,5.085306,21
7/2003,5.041388,5.003717,5.077417,23
6/2003,5.037927,4.991440,5.139610,21
5/2003,5.081694,4.888569,5.156361,21
4/2003,5.200913,5.145310,5.347117,20
3/2003,5.221760,5.068345,5.353188,21
2/2003,5.191594,5.138219,5.225991,20
1/2003,5.174499,5.142229,5.275556,22
12/2002,5.238764,5.198812,5.328557,20
11/2002,5.234758,5.194764,5.270554,21
10/2002,5.263743,5.223849,5.330065,23
9/2002,5.178499,5.058993,5.277590,21
8/2002,5.093648,5.018144,5.141460,22
7/2002,4.982579,4.852014,5.104455,23
6/2002,5.098896,4.982235,5.179703,20
5/2002,5.166729,5.112463,5.232458,22
4/2002,5.249016,5.211986,5.293103,21
3/2002,5.242994,5.208039,5.287623,20
2/2002,5.291454,5.250579,5.344692,20
1/2002,5.309417,5.241557,5.355424,22
12/2001,5.313792,5.282307,5.375811,19
11/2001,5.365445,5.309944,5.417956,22
10/2001,5.415817,5.365237,5.463974,23
9/2001,5.373257,5.277322,5.480608,20
8/2001,5.441471,5.304036,5.559893,23
7/2001,5.546498,5.482517,5.954063,22
6/2001,5.482964,5.431275,5.567385,21
5/2001,5.548789,5.477316,5.815338,22
4/2001,5.513937,5.437212,5.579397,19
3/2001,5.314628,5.242131,5.410742,22
2/2001,5.166979,5.105193,5.286750,20
1/2001,5.231044,5.152888,5.343508,22
12/2000,5.248349,5.086541,5.343137,19
11/2000,5.290091,5.216553,5.398889,22
10/2000,5.261043,5.143182,5.361695,22
9/2000,5.069383,4.938213,5.185033,21
8/2000,4.962511,4.913651,5.008374,23
7/2000,4.869459,4.755145,5.014874,21
6/2000,4.768481,4.672008,5.020517,22
5/2000,4.712870,4.637243,4.770254,22
4/2000,4.594418,4.570738,4.613059,18
3/2000,4.585563,4.561064,4.614268,23
2/2000,4.567743,4.524788,4.621524,21
1/2000,4.523737,4.470375,4.599435,21
12/1999,4.622365,4.534462,4.712213,23
11/1999,4.687231,4.649335,4.721886,22
10/1999,4.771974,4.669891,4.915357,21
9/1999,4.839110,4.694075,5.032648,22
8/1999,4.602221,4.509069,4.651753,22
7/1999,4.490395,4.451028,4.523579,22
6/1999,4.464988,4.423216,4.490931,22
5/1999,4.481210,4.447400,4.521161,21
4/1999,4.550319,4.486094,4.592503,22
3/1999,4.541296,4.492140,4.673519,23
2/1999,4.489539,4.437727,4.558646,20
1/1999,4.427386,4.374849,4.480048,21
12/1998,4.387361,4.326481,4.492140,23
11/1998,4.418963,4.365175,4.498186,21
10/1998,4.612722,4.449819,4.794438,22
9/1998,4.885114,4.715840,4.951632,22
8/1998,5.044740,4.933495,5.145103,21
7/1998,4.993901,4.921403,5.114873,23
6/1998,5.118720,4.963724,5.290206,22
5/1998,4.741562,4.661427,4.889964,21
4/1998,4.794877,4.661427,4.981862,22
3/1998,5.001924,4.594921,5.441354,22
2/1998,5.563461,5.199516,6.166868,20
1/1998,6.367238,5.659008,6.783555,22
12/1997,5.363283,4.981862,5.731560,23
11/1997,4.719808,4.487771,4.957678,20
10/1997,4.531476,4.310762,4.897219,23
9/1997,4.260519,4.056832,4.419589,22
8/1997,3.917602,3.748489,4.171705,21
7/1997,3.653794,2.964933,3.905683,23
6/1997,2.966661,2.750907,3.071342,21
5/1997,3.113101,2.992745,3.157195,22
4/1997,3.151643,3.139057,3.159613,22
3/1997,3.138884,3.130593,3.147521,21
2/1997,3.140275,3.130593,3.170671,20
1/1997,3.111607,3.095526,3.140266,23
12/1996,3.073611,3.065548,3.092016,22
11/1996,3.056716,3.050384,3.065585,21
10/1996,3.058086,3.052198,3.064826,23
9/1996,3.048021,3.033793,3.095232,21
8/1996,3.033021,3.027396,3.037319,22
7/1996,3.040182,3.027324,3.050660,23
6/1996,3.039188,3.033899,3.044797,20
5/1996,3.029642,3.021521,3.044418,23
4/1996,3.028217,3.021379,3.032879,22
3/1996,3.024176,3.019821,3.057261,21
2/1996,3.029739,3.019108,3.042231,21
1/1996,3.033306,3.021108,3.057041,23
12/1995,3.019121,3.016052,3.022525,21
11/1995,3.019662,3.014593,3.029467,22
10/1995,3.013147,3.007104,3.019832,22
9/1995,3.013657,3.005481,3.027757,21
8/1995,2.998146,2.977163,3.015408,23
7/1995,2.974608,2.966097,2.979496,21
6/1995,2.965151,2.961254,2.969964,22
5/1995,2.958255,2.918528,2.984105,23
4/1995,2.910676,2.898122,2.919050,20
3/1995,2.930820,2.918403,2.952383,23
2/1995,2.958865,2.949284,2.966282,20
1/1995,2.970908,2.961339,3.037394,22
12/1994,2.953326,2.938418,2.966784,22
11/1994,2.927506,2.915019,2.936745,22
