Month,Average CNY/KRW=,Min CNY/KRW=,Max CNY/KRW=,Nb of working days
8/2010,173.965555,171.427456,176.098844,22
7/2010,177.805747,174.296225,181.501577,22
6/2010,178.191570,172.657873,183.080326,22
5/2010,170.956277,163.366237,183.131924,21
4/2010,163.326058,161.741645,165.008647,20
3/2010,166.547596,165.309165,169.209107,23
2/2010,169.340397,167.231048,171.667292,20
1/2010,166.770590,164.049045,170.418170,20
12/2009,170.704146,168.877893,173.395851,22
11/2009,170.438202,168.923035,173.407230,21
10/2009,172.012226,169.087309,174.911594,22
9/2009,177.896802,172.467436,182.684250,22
8/2009,181.469368,178.447978,184.094051,21
7/2009,184.796357,178.970308,191.842869,23
6/2009,184.668441,180.775439,188.394769,22
5/2009,183.591977,180.823841,187.390649,20
4/2009,195.363953,187.345294,200.797109,20
3/2009,212.790742,194.767490,231.687163,22
2/2009,211.002714,201.715207,225.585671,20
1/2009,199.191340,191.601369,205.549051,21
12/2008,201.029645,186.985111,215.545730,21
11/2008,205.108651,183.356661,221.799241,20
10/2008,193.490985,173.197236,213.482753,23
9/2008,165.891297,157.979254,176.235784,22
8/2008,152.706076,148.139949,159.143714,21
7/2008,148.833289,145.799848,153.578660,23
6/2008,149.594762,146.850977,152.911125,21
5/2008,148.728238,144.213342,151.183594,21
4/2008,141.149505,138.962921,143.899766,22
3/2008,138.645567,133.351843,144.627973,19
2/2008,131.768611,130.989882,132.831641,21
1/2008,130.220342,128.465811,131.999586,22
12/2007,126.338643,124.192463,128.540496,19
11/2007,123.753794,121.284771,126.012637,22
10/2007,121.947678,120.702480,122.561181,23
9/2007,123.555290,121.920717,124.850132,20
8/2007,123.439094,121.867177,125.140922,23
7/2007,121.242503,120.807507,122.016582,22
6/2007,121.603057,121.164150,121.981076,21
5/2007,120.872215,119.731335,121.801645,22
4/2007,120.499073,119.896488,121.197992,19
3/2007,121.876683,121.228068,122.729380,22
2/2007,120.920331,120.295005,121.665363,20
1/2007,120.299550,118.595400,121.247905,22
12/2006,118.267112,116.813419,119.169962,19
11/2006,118.972989,118.348128,119.645128,22
10/2006,120.654248,119.595729,122.014524,22
9/2006,120.128845,119.172813,121.106462,21
8/2006,120.560801,119.898160,121.070907,23
7/2006,118.989403,117.885357,119.887374,21
6/2006,119.238110,117.651458,120.186342,22
5/2006,117.439290,115.873777,118.715302,22
4/2006,118.823859,117.191298,121.033104,18
3/2006,121.334362,120.481175,122.037381,23
2/2006,120.475799,119.355501,121.377724,20
1/2006,121.900609,119.671175,125.501373,22
12/2005,126.621327,124.408638,128.505380,21
11/2005,128.720416,127.902795,129.651591,22
10/2005,129.302291,128.182845,130.764853,21
9/2005,127.199569,126.390806,128.787817,22
8/2005,126.055499,124.835449,128.213277,23
7/2005,126.289627,124.715522,127.664009,21
6/2005,122.376749,121.420879,124.715885,22
5/2005,121.202210,120.689232,122.031753,22
4/2005,122.139191,120.568089,123.639380,21
3/2005,121.785917,120.955055,123.760949,21
2/2005,123.610315,121.414456,125.332404,20
1/2005,125.458624,123.796550,127.412047,21
12/2004,127.059287,125.175695,129.069168,23
11/2004,131.379807,126.577642,135.308230,22
10/2004,138.090413,135.356732,139.359080,21
9/2004,138.859564,138.355308,139.661182,22
8/2004,139.966236,139.244439,141.179448,22
7/2004,140.057005,138.772506,141.492989,22
6/2004,140.053423,139.026946,140.804450,22
5/2004,142.233407,140.272168,143.893898,21
4/2004,139.394592,137.890228,141.880164,20
3/2004,140.957734,138.627522,142.775325,23
2/2004,141.013901,139.317076,142.660556,20
1/2004,143.054070,141.650291,144.504524,21
12/2003,144.080967,143.022540,145.060873,21
11/2003,143.422643,141.626810,145.586539,20
10/2003,141.140280,138.699910,143.367156,23
9/2003,140.859412,139.074474,142.376559,22
8/2003,142.493594,141.438805,143.621836,21
7/2003,142.724356,142.213075,143.905429,23
6/2003,144.354528,143.167585,145.761661,21
5/2003,145.130110,144.195785,146.613999,21
4/2003,149.094916,145.876796,152.116533,20
3/2003,149.448926,143.409915,152.237339,21
2/2003,143.991525,141.989477,145.979545,20
1/2003,142.316370,140.750013,144.733927,22
12/2002,145.733982,143.410123,147.736624,20
11/2002,145.896220,143.591142,148.126362,21
10/2002,149.364836,147.726125,151.789698,23
9/2002,145.800581,143.410521,148.186704,21
8/2002,144.334969,142.418033,145.707314,22
7/2002,142.503868,139.734199,145.798452,23
6/2002,146.909365,144.050574,148.754001,20
5/2002,151.681385,146.844365,155.139646,22
4/2002,158.790201,155.743063,160.876552,21
3/2002,159.783532,158.645818,160.737687,20
2/2002,159.436489,158.622089,160.459171,20
1/2002,158.911855,157.641677,160.967254,22
12/2001,155.634781,153.264914,160.217997,19
11/2001,154.839697,152.358195,159.129707,22
10/2001,157.320920,156.347968,159.855450,23
9/2001,156.365883,154.292354,158.403869,20
8/2001,154.966490,154.292092,156.227821,23
7/2001,157.389625,156.288179,158.887205,22
6/2001,156.483814,155.260660,157.679033,21
5/2001,156.814937,154.897504,158.282868,22
4/2001,160.470324,157.828340,165.417492,19
3/2001,156.047145,152.478722,160.943278,22
2/2001,151.360723,149.123637,152.902368,20
1/2001,153.991679,152.212429,155.477343,22
12/2000,146.775337,143.046719,152.962190,19
11/2000,139.816114,136.593699,146.976998,22
10/2000,136.918425,135.074312,138.921073,22
9/2000,135.124613,132.263538,137.609035,21
