Month,Average CNY/USD=,Min CNY/USD=,Max CNY/USD=,Nb of working days
4/2009,0.146394,0.146286,0.146564,20
3/2009,0.146359,0.146359,0.146359,22
2/2009,0.146267,0.146014,0.146358,20
1/2009,0.146289,0.146231,0.146563,21
12/2008,0.145848,0.145202,0.146563,21
11/2008,0.146430,0.146240,0.146537,20
10/2008,0.146281,0.145936,0.146694,23
9/2008,0.146249,0.146006,0.146767,22
8/2008,0.145947,0.145539,0.146466,21
7/2008,0.146275,0.145581,0.146815,23
6/2008,0.144964,0.143957,0.145894,21
5/2008,0.143432,0.142751,0.144163,21
4/2008,0.142878,0.142482,0.143211,22
3/2008,0.141361,0.140628,0.142643,19
2/2008,0.139551,0.138889,0.140617,21
1/2008,0.138110,0.137111,0.139241,22
12/2007,0.135662,0.134962,0.136909,19
11/2007,0.134764,0.134123,0.135457,22
10/2007,0.133289,0.132830,0.133994,23
9/2007,0.132936,0.132455,0.133269,20
8/2007,0.132048,0.131509,0.132608,23
7/2007,0.132008,0.131497,0.132308,22
6/2007,0.131022,0.130494,0.131351,21
5/2007,0.130308,0.129804,0.130805,22
4/2007,0.129464,0.129283,0.129804,19
3/2007,0.129230,0.128999,0.129423,22
2/2007,0.129031,0.128764,0.129190,20
1/2007,0.128399,0.127926,0.128691,22
12/2006,0.127838,0.127616,0.128122,19
11/2006,0.127177,0.126886,0.127693,22
10/2006,0.126551,0.126343,0.127004,22
9/2006,0.126081,0.125719,0.126639,21
8/2006,0.125428,0.124977,0.125744,23
7/2006,0.125151,0.124962,0.125471,21
6/2006,0.124895,0.124667,0.125069,22
5/2006,0.124761,0.124557,0.125028,22
4/2006,0.124757,0.124614,0.124938,18
3/2006,0.124455,0.124219,0.124735,23
2/2006,0.124207,0.124057,0.124355,20
1/2006,0.123970,0.123908,0.124057,22
12/2005,0.123828,0.123750,0.123913,21
11/2005,0.123704,0.123645,0.123768,22
10/2005,0.123620,0.123573,0.123701,21
9/2005,0.123581,0.123524,0.123654,22
8/2005,0.123431,0.123320,0.123527,23
7/2005,0.121716,0.120919,0.123372,21
6/2005,0.120919,0.120919,0.120919,22
5/2005,0.120919,0.120919,0.120919,22
4/2005,0.120919,0.120919,0.120919,21
3/2005,0.120919,0.120919,0.120919,21
2/2005,0.120919,0.120919,0.120919,20
1/2005,0.120919,0.120919,0.120919,21
12/2004,0.120919,0.120919,0.120919,23
11/2004,0.120919,0.120919,0.120919,22
10/2004,0.120919,0.120919,0.120919,21
9/2004,0.120919,0.120919,0.120919,22
8/2004,0.120919,0.120919,0.120919,22
7/2004,0.120919,0.120919,0.120919,22
6/2004,0.120919,0.120919,0.120919,22
5/2004,0.120919,0.120919,0.120919,21
4/2004,0.120919,0.120919,0.120919,20
3/2004,0.120919,0.120919,0.120919,23
2/2004,0.120919,0.120919,0.120919,20
1/2004,0.120919,0.120919,0.120919,21
12/2003,0.120919,0.120919,0.120919,21
11/2003,0.120919,0.120919,0.120919,20
10/2003,0.120919,0.120919,0.120919,23
9/2003,0.120919,0.120919,0.120919,22
8/2003,0.120919,0.120919,0.120919,21
7/2003,0.120919,0.120919,0.120919,23
6/2003,0.120919,0.120919,0.120919,21
5/2003,0.120919,0.120919,0.120919,21
4/2003,0.120919,0.120919,0.120919,20
3/2003,0.120919,0.120919,0.120919,21
2/2003,0.120919,0.120919,0.120919,20
1/2003,0.120919,0.120919,0.120919,22
12/2002,0.120919,0.120919,0.120919,20
11/2002,0.120919,0.120919,0.120919,21
10/2002,0.120919,0.120919,0.120919,23
9/2002,0.120919,0.120919,0.120919,21
8/2002,0.120919,0.120919,0.120919,22
7/2002,0.120919,0.120919,0.120919,23
6/2002,0.120919,0.120919,0.120919,20
5/2002,0.120919,0.120919,0.120919,22
4/2002,0.120919,0.120919,0.120919,21
3/2002,0.120919,0.120919,0.120919,20
2/2002,0.120919,0.120919,0.120919,20
1/2002,0.120919,0.120919,0.120919,22
12/2001,0.120919,0.120919,0.120919,19
11/2001,0.120919,0.120919,0.120919,22
10/2001,0.120919,0.120919,0.120919,23
9/2001,0.120919,0.120919,0.120919,20
8/2001,0.120919,0.120919,0.120919,23
7/2001,0.120919,0.120919,0.120919,22
6/2001,0.120919,0.120919,0.120919,21
5/2001,0.120919,0.120919,0.120919,22
4/2001,0.120919,0.120919,0.120919,19
3/2001,0.120919,0.120919,0.120919,22
2/2001,0.120919,0.120919,0.120919,20
1/2001,0.120919,0.120919,0.120919,22
12/2000,0.120919,0.120919,0.120919,19
11/2000,0.120919,0.120919,0.120919,22
10/2000,0.120919,0.120919,0.120919,22
9/2000,0.120919,0.120919,0.120919,21
8/2000,0.120919,0.120919,0.120919,23
7/2000,0.120919,0.120919,0.120919,21
6/2000,0.120919,0.120919,0.120919,22
5/2000,0.120919,0.120919,0.120919,22
4/2000,0.120919,0.120919,0.120919,18
3/2000,0.120919,0.120919,0.120919,23
2/2000,0.120919,0.120919,0.120919,21
1/2000,0.120919,0.120919,0.120919,21
12/1999,0.120919,0.120919,0.120919,23
11/1999,0.120919,0.120919,0.120919,22
10/1999,0.120919,0.120919,0.120919,21
9/1999,0.120919,0.120919,0.120919,22
8/1999,0.120919,0.120919,0.120919,22
7/1999,0.120919,0.120919,0.120919,22
6/1999,0.120919,0.120919,0.120919,22
5/1999,0.120919,0.120919,0.120919,21
4/1999,0.120919,0.120919,0.120919,22
3/1999,0.120919,0.120919,0.120919,23
2/1999,0.120919,0.120919,0.120919,20
1/1999,0.120919,0.120919,0.120919,21
12/1998,0.120919,0.120919,0.120919,23
11/1998,0.120919,0.120919,0.120919,21
10/1998,0.120919,0.120919,0.120919,22
9/1998,0.120919,0.120919,0.120919,22
8/1998,0.120919,0.120919,0.120919,21
7/1998,0.120919,0.120919,0.120919,23
6/1998,0.120919,0.120919,0.120919,22
5/1998,0.120919,0.120919,0.120919,21
4/1998,0.120919,0.120919,0.120919,22
3/1998,0.120919,0.120919,0.120919,22
2/1998,0.120919,0.120919,0.120919,20
1/1998,0.120919,0.120919,0.120919,22
12/1997,0.120919,0.120919,0.120919,23
11/1997,0.120919,0.120919,0.120919,20
10/1997,0.120919,0.120919,0.120919,23
9/1997,0.120919,0.120919,0.120919,22
8/1997,0.120919,0.120919,0.120919,21
7/1997,0.120919,0.120919,0.120919,23
6/1997,0.120919,0.120919,0.120919,21
