Month,Average CNY/MXN=,Min CNY/MXN=,Max CNY/MXN=,Nb of working days
11/1996,0.949997,0.945785,0.956955,21
10/1996,0.928090,0.902577,0.966387,23
9/1996,0.905504,0.898717,0.911719,21
8/1996,0.901249,0.897216,0.910476,22
7/1996,0.913363,0.901560,0.919808,23
6/1996,0.907118,0.890364,0.917255,20
5/1996,0.890886,0.884182,0.901796,23
4/1996,0.894618,0.883832,0.906457,22
3/1996,0.906638,0.901473,0.912979,21
2/1996,0.902526,0.889214,0.915946,21
1/1996,0.898561,0.879171,0.928347,23
12/1995,0.921746,0.905504,0.938167,21
11/1995,0.923555,0.877046,0.965969,22
10/1995,0.808326,0.769923,0.857839,22
9/1995,0.757547,0.748372,0.772284,21
8/1995,0.745447,0.735559,0.759311,23
7/1995,0.736713,0.721076,0.753597,21
6/1995,0.749236,0.736743,0.759551,22
5/1995,0.717667,0.694097,0.745704,23
4/1995,0.737777,0.691266,0.807483,20
3/1995,0.802183,0.705259,0.899845,23
2/1995,0.672368,0.632575,0.720267,20
1/1995,0.661646,0.590584,0.768467,22
12/1994,0.471556,0.403358,0.678162,22
11/1994,0.403329,0.401461,0.404450,22
10/1994,0.400260,0.397661,0.402527,21
9/1994,0.397515,0.394101,0.399696,22
8/1994,0.392996,0.387326,0.396111,23
7/1994,0.393053,0.390800,0.394690,21
6/1994,0.387882,0.382363,0.392080,22
5/1994,0.382154,0.375443,0.385950,22
4/1994,0.383986,0.374669,0.386801,21
3/1994,0.378850,0.364520,0.386034,23
2/1994,0.358174,0.356247,0.368271,20
1/1994,0.356683,0.356169,0.357728,21
12/1993,0.534361,0.532692,0.536931,23
11/1993,0.551266,0.532692,0.575958,22
10/1993,0.558957,0.545813,0.573920,21
9/1993,0.552056,0.541112,0.565973,22
8/1993,0.574965,0.565387,0.586879,22
7/1993,0.573772,0.564214,0.586199,22
6/1993,0.553218,0.536870,0.569746,22
5/1993,0.540378,0.530931,0.549945,21
4/1993,0.539625,0.531181,0.547275,22
3/1993,0.557113,0.547790,0.565029,23
2/1993,0.550763,0.544408,0.557519,20
1/1993,0.538699,0.524354,0.548927,21
12/1992,0.576218,0.556520,0.596218,23
11/1992,0.594943,0.589736,0.604898,21
10/1992,0.564557,0.541415,0.584581,22
9/1992,0.544685,0.521223,0.571305,22
8/1992,0.544258,0.530737,0.553257,21
7/1992,0.554969,0.543076,0.562194,23
6/1992,0.580569,0.561964,0.593122,22
5/1992,0.594122,0.583384,0.607195,21
4/1992,0.606562,0.601473,0.612827,22
3/1992,0.614699,0.605165,0.619931,22
2/1992,0.600092,0.583985,0.613103,20
1/1992,0.586956,0.565043,0.604338,23
12/1991,0.582098,0.563152,0.601848,22
11/1991,0.606887,0.591663,0.624674,21
10/1991,0.629967,0.619398,0.639156,23
9/1991,0.632746,0.623284,0.648249,21
8/1991,0.651238,0.641171,0.677225,22
7/1991,0.667290,0.653164,0.682200,23
6/1991,0.666043,0.652458,0.676931,20
5/1991,0.644380,0.635620,0.654748,23
4/1991,0.645194,0.627993,0.666294,22
3/1991,0.615385,0.585624,0.654927,21
2/1991,0.567879,0.558193,0.584374,20
1/1991,0.579277,0.568820,0.594136,23
12/1990,0.471126,0.461963,0.483299,21
11/1990,0.492099,0.460387,0.524315,22
10/1990,0.525396,0.520039,0.537264,23
9/1990,0.540548,0.534429,0.549373,20
8/1990,0.539828,0.529625,0.555396,23
7/1990,0.563235,0.547827,0.569923,22
6/1990,0.581108,0.572902,0.586667,21
5/1990,0.576832,0.569640,0.584986,23
4/1990,0.585910,0.581166,0.591537,21
3/1990,0.593277,0.587453,0.598224,22
2/1990,0.583343,0.576155,0.588724,20
1/1990,0.591044,0.583745,0.599643,23
12/1989,0.592685,0.503060,0.674178,21
11/1989,0.687339,0.673427,0.697108,22
10/1989,0.698378,0.688497,0.715057,22
9/1989,0.724168,0.696528,0.738692,21
8/1989,0.714167,0.686632,0.727458,23
7/1989,0.703663,0.691679,0.719968,21
6/1989,0.735808,0.725177,0.757504,22
5/1989,0.718816,0.694892,0.744284,23
4/1989,0.691960,0.684521,0.699640,20
3/1989,0.689912,0.680965,0.699695,23
2/1989,0.683999,0.673272,0.695363,20
1/1989,0.676061,0.652644,0.688988,22
