Month,Average CNY/IDR=,Min CNY/IDR=,Max CNY/IDR=,Nb of working days
5/1999,1042.809240,1026.226539,1059.891009,21
4/1999,1035.362954,1019.804950,1047.369851,22
3/1999,1018.364125,1006.376715,1036.496482,23
2/1999,988.933331,977.095785,1010.321852,20
1/1999,954.563038,939.967802,973.490899,21
12/1998,1140.967327,1128.504597,1149.253375,23
11/1998,1148.322478,1129.486536,1164.842955,21
10/1998,1120.080379,1103.059477,1135.192515,22
9/1998,1158.702485,1134.364223,1191.362422,22
8/1998,1213.789863,1199.948298,1224.476735,21
7/1998,1218.328757,1198.947588,1237.521651,23
6/1998,1213.844100,1202.495248,1229.668345,22
5/1998,1206.160751,1196.490574,1214.919029,21
4/1998,1225.971236,1212.022510,1249.456482,22
3/1998,1233.055800,1222.092786,1242.374316,22
2/1998,1228.405200,1215.161951,1239.219212,20
1/1998,1228.430845,1206.379550,1243.414173,22
12/1997,396.472573,394.438654,399.583894,23
11/1997,386.910542,381.388303,393.449344,20
10/1997,393.501691,384.069994,398.698420,23
9/1997,400.809467,394.463362,407.907326,22
8/1997,410.985535,401.809390,420.130550,21
7/1997,399.073168,389.658319,410.605076,23
6/1997,387.819583,385.797783,390.884963,21
5/1997,383.847112,379.758579,389.025561,22
4/1997,385.016424,376.620990,389.472405,22
3/1997,383.023001,379.434957,387.391330,21
2/1997,378.155989,371.921172,384.066648,20
1/1997,362.113297,350.317473,373.712165,23
12/1996,295.641165,292.811388,297.537374,22
11/1996,289.415397,287.064693,292.655659,21
10/1996,293.665748,289.630745,296.001107,23
9/1996,291.071232,287.418665,294.189947,21
8/1996,287.725400,286.057885,289.436402,22
7/1996,290.558523,285.215434,294.414180,23
6/1996,294.516561,292.376228,296.156749,20
5/1996,295.853776,292.842160,298.622683,23
4/1996,291.309433,287.655802,295.640265,22
3/1996,287.735433,286.654871,289.101568,21
2/1996,286.833129,283.159409,290.497687,21
1/1996,285.617835,280.201874,291.939539,23
12/1995,254.415443,252.422267,256.365503,21
11/1995,250.712970,248.739586,254.205341,22
10/1995,250.999070,247.496310,253.391552,22
9/1995,257.525690,251.189947,261.469718,21
8/1995,254.821221,246.025643,262.112022,23
7/1995,247.193856,244.921971,249.557994,21
6/1995,249.744576,246.930010,254.449664,22
5/1995,251.248681,244.511615,258.414340,23
4/1995,244.467320,241.610668,248.017181,20
3/1995,248.610370,244.465016,255.902660,23
2/1995,260.009366,255.126405,264.079486,20
1/1995,263.419716,259.357469,267.474290,22
12/1994,233.244035,231.431596,234.934000,22
11/1994,227.014781,220.398598,231.819592,22
10/1994,223.618822,219.563905,228.715905,21
9/1994,228.136771,226.613377,231.842024,22
8/1994,228.996614,225.273331,232.079434,23
7/1994,227.814805,222.246828,231.644038,21
6/1994,234.639460,228.560398,240.080417,22
5/1994,238.470144,236.283529,241.544674,22
4/1994,242.222784,237.396791,244.978536,21
3/1994,241.998794,239.011964,245.189668,23
2/1994,247.196597,244.673701,250.250271,20
1/1994,248.091156,246.696447,249.524845,21
12/1993,384.620673,380.868149,389.586780,23
11/1993,385.411184,383.235626,387.560319,22
10/1993,374.437028,365.631754,384.459956,21
9/1993,369.813814,362.482956,379.136722,22
8/1993,385.160197,378.744135,393.141023,22
7/1993,384.360767,377.958569,392.685901,22
6/1993,370.592458,359.640935,381.663980,22
5/1993,361.991147,355.662583,368.399667,21
4/1993,361.486712,355.829787,366.611371,22
3/1993,373.201537,366.956237,378.504316,23
2/1993,368.947764,364.690655,373.473183,20
1/1993,360.866239,351.256629,367.717742,21
12/1992,377.937131,365.017454,391.055020,23
11/1992,390.218464,386.803307,396.747897,21
10/1992,370.288577,355.110105,383.422609,22
9/1992,357.255102,341.866417,374.714508,22
8/1992,356.974500,348.106299,362.877205,21
7/1992,364.000084,356.199368,368.738720,23
6/1992,380.790652,368.588341,389.024531,22
5/1992,389.680526,382.637262,398.254670,21
4/1992,397.839264,394.501989,401.948419,22
3/1992,403.176801,396.923550,406.608088,22
2/1992,393.595906,383.031609,402.129711,20
1/1992,384.980040,370.607574,396.380955,23
12/1991,376.114789,363.872867,388.875621,22
11/1991,392.131881,382.294727,403.624462,21
10/1991,407.044486,400.215479,412.981647,23
9/1991,408.840149,402.726787,418.857469,21
8/1991,420.788357,414.284087,437.579607,22
7/1991,431.160354,422.033000,440.794122,23
6/1991,430.354589,421.577141,437.389731,20
5/1991,416.357389,410.697506,423.056499,23
4/1991,416.883163,405.769170,430.516922,22
3/1991,397.622742,378.392922,423.172161,21
2/1991,366.927109,360.668644,377.585545,20
1/1991,374.292168,367.535615,383.893002,23
12/1990,308.681748,302.677698,316.657424,21
11/1990,322.422797,301.644972,343.531193,22
10/1990,344.239333,340.729320,352.015144,23
9/1990,354.166552,350.157854,359.948908,20
8/1990,353.695267,347.009717,363.894864,23
7/1990,369.031248,358.935609,373.413417,22
6/1990,380.741386,375.365087,384.383919,21
5/1990,377.940150,373.227747,383.282251,23
4/1990,383.887694,380.779700,387.574467,21
3/1990,388.714872,384.898927,391.956088,22
2/1990,382.205731,377.496424,385.731572,20
1/1990,387.251801,382.469565,392.885906,23
12/1989,426.203034,361.753137,484.805051,21
11/1989,494.269116,484.265252,501.294306,22
10/1989,502.207640,495.102236,514.201411,22
9/1989,520.753301,500.877543,531.197998,21
8/1989,513.561497,493.760967,523.118989,23
7/1989,506.007838,497.390294,517.733263,21
6/1989,529.123966,521.479304,544.725296,22
5/1989,516.904930,499.700936,535.219226,23
4/1989,497.592711,492.242731,503.115316,20
3/1989,496.119389,489.685565,503.154806,23
2/1989,491.867848,484.153536,500.039865,20
1/1989,486.159251,469.320025,495.455545,22
