Month,Average CNY/CLP=,Min CNY/CLP=,Max CNY/CLP=,Nb of working days
4/1994,47.102251,46.163796,47.638130,21
3/1994,47.058694,46.477880,47.679187,23
2/1994,48.069451,47.578852,48.663263,20
1/1994,48.243405,47.972192,48.522198,21
12/1993,74.481456,73.754783,75.443138,23
11/1993,74.634538,74.213243,75.050716,22
10/1993,72.509402,70.804268,74.450333,21
9/1993,71.614121,70.194506,73.419494,22
8/1993,74.585934,73.343470,76.131414,22
7/1993,74.431126,73.191345,76.043280,22
6/1993,71.764904,69.644152,73.908895,22
5/1993,70.099268,68.873747,71.340272,21
4/1993,70.001585,68.906126,70.993970,22
3/1993,72.270150,71.060754,73.297029,23
2/1993,71.446411,70.622025,72.322754,20
1/1993,69.881431,68.020538,71.208218,21
12/1992,67.505524,65.197866,69.848586,23
11/1992,69.699164,69.089163,70.865423,21
10/1992,66.139372,63.428258,68.485317,22
9/1992,63.811388,61.062727,66.929913,22
8/1992,63.761268,62.177268,64.815584,21
7/1992,65.016148,63.622817,65.862543,23
6/1992,68.015208,65.835683,69.485909,22
5/1992,69.603080,68.345042,71.134557,21
4/1992,71.060359,70.464269,71.794318,22
3/1992,72.013727,70.896798,72.626609,22
2/1992,70.302428,68.415478,71.826700,20
1/1992,68.763499,66.196350,70.799882,23
12/1991,67.345568,65.153580,69.630470,22
11/1991,70.213523,68.452122,72.271337,21
10/1991,72.883712,71.660938,73.946796,23
9/1991,73.205236,72.110603,74.998896,21
8/1991,75.344633,74.180005,78.351205,22
7/1991,77.201800,75.567494,78.926783,23
6/1991,77.057523,75.485870,78.317207,20
5/1991,74.551242,73.537807,75.750757,23
4/1991,74.645385,72.655359,77.086590,22
3/1991,71.196693,67.753481,75.771467,21
2/1991,65.700460,64.579845,67.608915,20
1/1991,67.019217,65.809416,68.738303,23
12/1990,51.073048,50.079646,52.392666,21
11/1990,53.346578,49.908776,56.839075,22
10/1990,56.956241,56.375490,58.242791,23
9/1990,58.598752,57.935492,59.555474,20
8/1990,58.520776,57.414616,60.208354,23
7/1990,61.058196,59.387818,61.783249,22
6/1990,62.995701,62.106164,63.598378,21
5/1990,62.532221,61.752529,63.416101,23
4/1990,63.516275,63.002040,64.126271,21
3/1990,64.314957,63.683588,64.851234,22
2/1990,63.237985,62.458805,63.821354,20
1/1990,64.072884,63.281637,65.005077,23
12/1989,64.278459,54.558350,73.116611,21
11/1989,74.543949,73.035201,75.603464,22
10/1989,75.741209,74.669597,77.550068,22
9/1989,78.538202,75.540609,80.113434,21
8/1989,77.453559,74.467312,78.894986,23
7/1989,76.314342,75.014674,78.082730,21
6/1989,79.800636,78.647695,82.153574,22
5/1989,77.957804,75.363157,80.719902,23
4/1989,75.045202,74.238336,75.878102,20
3/1989,74.823001,73.852674,75.884058,23
2/1989,74.181798,73.018352,75.414273,20
1/1989,73.320847,70.781214,74.722882,22
